"FileName","FullPath","RootCategory","ProbableRole","SizeBytes","LastWrite"
"TaleWorlds.PlatformService.Steam.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.PlatformService.Steam.dll","client","unknown","36288","2026-03-04 23:57"
"TaleWorlds.PlayerServices.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.PlayerServices.dll","client","unknown","32192","2026-03-04 23:57"
"TaleWorlds.PSAI.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.PSAI.dll","client","unknown","93632","2026-03-04 23:57"
"TaleWorlds.SaveSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.SaveSystem.dll","client","unknown","163776","2026-03-04 23:57"
"TaleWorlds.ScreenSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.ScreenSystem.dll","client","unknown","40896","2026-03-04 23:57"
"TaleWorlds.ServiceDiscovery.Client.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.ServiceDiscovery.Client.dll","client","unknown","20928","2026-03-04 23:57"
"TaleWorlds.Starter.Library.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Starter.Library.dll","client","unknown","13760","2026-03-04 23:57"
"TaleWorlds.TwoDimension.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.TwoDimension.dll","client","unknown","97216","2026-03-04 23:57"
"TaleWorlds.TwoDimension.Standalone.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.TwoDimension.Standalone.dll","client","unknown","86464","2026-03-04 23:57"
"aspnetcorev2_inprocess.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\aspnetcorev2_inprocess.dll","client","unknown","349632","2026-03-04 23:57"
"Microsoft.AspNetCore.Antiforgery.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Antiforgery.dll","client","unknown","98240","2026-03-04 23:57"
"Microsoft.AspNetCore.Authentication.Abstractions.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Authentication.Abstractions.dll","client","unknown","50624","2026-03-04 23:57"
"Microsoft.AspNetCore.Authentication.Cookies.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Authentication.Cookies.dll","client","unknown","102848","2026-03-04 23:57"
"Microsoft.AspNetCore.Authentication.Core.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Authentication.Core.dll","client","unknown","77248","2026-03-04 23:57"
"Microsoft.AspNetCore.Authentication.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Authentication.dll","client","unknown","142272","2026-03-04 23:57"
"Microsoft.AspNetCore.Authentication.OAuth.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Authentication.OAuth.dll","client","unknown","92608","2026-03-04 23:57"
"Microsoft.AspNetCore.Authorization.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Authorization.dll","client","unknown","83904","2026-03-04 23:57"
"Microsoft.AspNetCore.Authorization.Policy.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Authorization.Policy.dll","client","unknown","54208","2026-03-04 23:57"
"Microsoft.AspNetCore.Components.Authorization.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Components.Authorization.dll","client","unknown","43968","2026-03-04 23:57"
"Microsoft.AspNetCore.Components.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Components.dll","client","unknown","548800","2026-03-04 23:57"
"Microsoft.AspNetCore.Components.Forms.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Components.Forms.dll","client","unknown","59328","2026-03-04 23:57"
"Microsoft.AspNetCore.Components.Server.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Components.Server.dll","client","unknown","715200","2026-03-04 23:57"
"Microsoft.AspNetCore.Components.Web.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Components.Web.dll","client","unknown","282560","2026-03-04 23:57"
"Microsoft.AspNetCore.Connections.Abstractions.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Connections.Abstractions.dll","client","unknown","62400","2026-03-04 23:57"
"Microsoft.AspNetCore.CookiePolicy.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.CookiePolicy.dll","client","unknown","45504","2026-03-04 23:57"
"Microsoft.AspNetCore.Cors.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Cors.dll","client","unknown","76736","2026-03-04 23:57"
"Microsoft.AspNetCore.Cryptography.Internal.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Cryptography.Internal.dll","client","unknown","64448","2026-03-04 23:57"
"Microsoft.AspNetCore.Cryptography.KeyDerivation.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Cryptography.KeyDerivation.dll","client","unknown","31680","2026-03-04 23:57"
"Microsoft.AspNetCore.DataProtection.Abstractions.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.DataProtection.Abstractions.dll","client","unknown","36800","2026-03-04 23:57"
"Microsoft.AspNetCore.DataProtection.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.DataProtection.dll","client","unknown","413632","2026-03-04 23:57"
"Microsoft.AspNetCore.DataProtection.Extensions.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.DataProtection.Extensions.dll","client","unknown","35264","2026-03-04 23:57"
"Microsoft.AspNetCore.Diagnostics.Abstractions.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Diagnostics.Abstractions.dll","client","unknown","20416","2026-03-04 23:57"
"Microsoft.AspNetCore.Diagnostics.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Microsoft.AspNetCore.App\Microsoft.AspNetCore.Diagnostics.dll","client","unknown","391616","2026-03-04 23:57"
